call_id,call_datetime,lob,lob_code,agent_id,customer_id,channel,duration_sec,scenario_type,scenario_key,raw_transcript,clean_transcript_ref
CALL-242C7CFD22,2026-05-03T10:09:33,Small Business Banking,SMB,AG-003,CUST-635347,Phone,129,opportunity,Business line of credit,"AGENT: meridian bank customer care this is kendall nakamura speaking how can i assist you
CUST: we are growing pretty fast and wanted to ask about a business line of credit
AGENT: that sounds sounds great let me pull up some information for you
CUST: we are looking four something around $120512 to cover inventory during are busy season
AGENT: let me connect you with one of our specialists who can [inaudible] walk you through the details
CUST: okay i will wait hear back back then
AGENT: is there anything else i can help you with today","AGENT: Meridian bank customer care this is kendall nakamura speaking how can i assist you.
CUST: We are growing pretty fast and wanted to ask about a business line of credit.
AGENT: That sounds great let me pull up some information for you.
CUST: We are looking for something around $1,205.12 to cover inventory during our busy season.
AGENT: Let me connect you with one of our specialists who can walk you through the details.
CUST: Okay i will wait to hear back then.
AGENT: Is there anything else i can help you with today."
CALL-63DA01BEB6,2026-05-03T14:43:41,Credit Cards,CARDS,AG-005,CUST-540418,Phone,221,complaint,Late fee dispute,"AGENT: thanks for holding this is rowan diallo with meridian bank how can i help
CUST: i got hit with a late fee of $27.90 but i made the payment on time through app
AGENT: i i apologize for the trouble let me see whats going on here
CUST: i have a screenshot showing the payment went through on monday
AGENT: i can go ahead and submit a refund request four you today
CUST: [inaudible] alright thank you i guess we will see what happens
AGENT: thank you for calling meridian bank have have a great day","AGENT: Thanks for holding this is rowan diallo with meridian bank how can i help.
CUST: I got hit with a late fee of $27.90 but i made the payment on time through the app.
AGENT: I apologize for the trouble let me see whats going on here.
CUST: I have a screenshot showing the payment went through on monday.
AGENT: I can go ahead and submit a refund request for you today.
CUST: Alright thank you i guess we will see what happens.
AGENT: Thank you for calling meridian bank have a great day."
CALL-87AD618F90,2026-05-03T16:42:57,Auto Finance,AUTO,AG-005,CUST-850773,Phone,212,neutral,Insurance info update,"AGENT: meridian bank customer care this is avery osei speaking how can i assist you
CUST: i need i mean to update the insurance information on file for my auto loan
AGENT: sure i can help help you with that
CUST: i just switched providers um last last week
AGENT: great that update is complete
CUST: great appreciate it
AGENT: we appreciate your business business at meridian bank bank take care","AGENT: Meridian bank customer care this is avery osei speaking how can i assist you.
CUST: I need to update the insurance information on file for my auto loan.
AGENT: Sure i can help you with that.
CUST: I just switched providers last last week.
AGENT: Great that update is complete.
CUST: Great appreciate it.
AGENT: We appreciate your business at meridian bank take care."
CALL-2CA0F3CF3A,2026-05-03T16:51:23,Retail & Consumer Banking,RETAIL,AG-008,CUST-775784,Phone,110,neutral,Statement request,"AGENT: thanks for holding this is elliot reyes with meridian bank how can i help
CUST: can you send me a copy of my statement from last monday
AGENT: sure i can help you with with that
CUST: i need it four my taxes and i can not find it in the app
AGENT: thats all set on our our end now
CUST: okay thank [crosstalk] you so
AGENT: thank you for calling meridian bank have a great day","AGENT: Thanks for holding this is elliot reyes with meridian bank how can i help.
CUST: Can you send me a copy of my statement from last monday.
AGENT: Sure i can help you with that.
CUST: I need it for my taxes and i can not find it in the app.
AGENT: Thats all set on our end now.
CUST: Okay thank you so much.
AGENT: Thank you for calling meridian bank have a great day."
CALL-9E68548FFD,2026-05-04T08:04:26,Small Business Banking,SMB,AG-012,CUST-692372,Phone,345,complaint,Wire transfer issue,"AGENT: meridian bank customer care this is riley carrington speaking how can i i assist you
CUST: we sent a wire i mean for $176063 supplier and it still has not arrived after 45 days
AGENT: i am really sorry to hear that let me pull up your account
CUST: our supplier is threatening to two hold our shipment because because they havent been paid
AGENT: i am going to go ahead and escalate this two our specialist team and you should hear back within within 7 business days
CUST: okay okay thank you for your help with this
AGENT: is there anything else i can help you with today","AGENT: Meridian bank customer care this is riley carrington speaking how can i assist you.
CUST: We sent a wire for $1,760.63 to a supplier and it still has not arrived after 45 days.
AGENT: I am really sorry to hear that let me pull up your account.
CUST: Our supplier is threatening to hold our shipment because they havent been paid.
AGENT: I am going to go ahead and escalate this to our specialist team and you should hear back within 7 business days.
CUST: Okay thank you for your help with this.
AGENT: Is there anything else i can help you with today."
CALL-354BFB6D1B,2026-05-04T08:07:09,Credit Cards,CARDS,AG-002,CUST-109883,Phone,248,complaint,Billing error,"AGENT: meridian bank customer care this is reese carrington speaking how can i assist you
CUST: there is a charge on my statement for $606494 that i never never made
AGENT: i understand how frustrating that must be let me take a look
CUST: i already already called once about this last this past weekend and it still has not
AGENT: i can go ahead and submit a refund request for you today
CUST: alright so yeah thank you i guess we um will see what happens
AGENT: we appreciate your business at meridian bank take care","AGENT: Meridian bank customer care this is reese carrington speaking how can i assist you.
CUST: There is a charge on my statement for $6,064.94 that i never made.
AGENT: I understand how frustrating that must be let me take a look.
CUST: I already called once about this last this past weekend and it still has not been fixed.
AGENT: I can go ahead and submit a refund request for you today.
CUST: Alright thank you i guess we will see what happens.
AGENT: We appreciate your business at meridian bank take care."
CALL-FE4881BDE6,2026-05-04T08:48:06,Retail & Consumer Banking,RETAIL,AG-017,CUST-896406,Phone,84,neutral,Address update,"AGENT: thank thank you for calling meridian bank my name is riley lindqvist how can i help you today
CUST: i need to update my mailing address on my checking account
AGENT: sure i i can help you with that
CUST: i just moved to a new place place last week and want my uh statements sent sent their
AGENT: thats all set on on our end now
CUST: great appreciate it
AGENT: is there anything anything else i can help you know you with today","AGENT: Thank you for calling meridian bank my name is riley lindqvist how can i help you today.
CUST: I need to update my mailing address on my checking account.
AGENT: Sure i can help you with that.
CUST: I just moved to a new place last week and want my statements sent there.
AGENT: Thats all set on our end now.
CUST: Great appreciate it.
AGENT: Is there anything else i can help you with today."
CALL-15218783A9,2026-05-04T10:42:45,Small Business Banking,SMB,AG-014,CUST-758971,Phone,109,neutral,New business account setup,"AGENT: meridian bank customer care care this quinn delgado speaking how can i assist you
CUST: we just like got um our llc paperwork finalized and want to um open a business checking account
AGENT: no problem let me take care of that for you
CUST: what documents do we so yeah need bring in to um get that set up
AGENT: great that update is complete
CUST: alright thanks bye
AGENT: is their anything else i mean i can help you with today","AGENT: Meridian bank customer care this is quinn delgado speaking how can i assist you.
CUST: We just got our llc paperwork finalized and want to open a business checking account.
AGENT: No problem let me take care of that for you.
CUST: What documents do we need to bring in to get that set up.
AGENT: Great that update is complete.
CUST: Alright thanks bye.
AGENT: Is there anything else i can help you with today."
CALL-E96DC741EA,2026-05-04T11:39:33,Retail & Consumer Banking,RETAIL,AG-018,CUST-179569,Phone,364,complaint,Mobile app outage,"AGENT: thank you for calling calling meridian bank my name is hayden whitfield how can i help you today
CUST: the you know meridian mobile has been down since this past weekend and i mean i cant check my balance or pay anything
AGENT: i apologize for the trouble uh let me see whats going on here
CUST: i tried logging in like five five times and it just keeps spinning and then it logs me out
AGENT: let me file a formal complaint on your behalf so so this gets looked at right away
CUST: okay thank you i mean for youre help with this this
AGENT: is there anything else i can help you with today","AGENT: Thank you for calling meridian bank my name is hayden whitfield how can i help you today.
CUST: The meridian mobile has been down since this past weekend and i cant check my balance or pay anything.
AGENT: I apologize for the trouble let me see whats going on here.
CUST: I tried logging in like five times and it just keeps spinning and then it logs me out.
AGENT: Let me file a formal complaint on your behalf so this gets looked at right away.
CUST: Okay thank you for your help with this.
AGENT: Is there anything else i can help you with today."
CALL-2BF93EA942,2026-05-04T11:54:43,Small Business Banking,SMB,AG-013,CUST-926774,Phone,93,neutral,New business account setup,"AGENT: thanks for holding this is cameron delgado with meridian bank how can i help help
CUST: we just got our llc paperwork finalized and want to open open business checking account
AGENT: okay give me just a moment two look that up
CUST: what documents do we [hold music] need to bring in to get that set up
AGENT: thats all set on are end now
CUST: great appreciate it
AGENT: we appreciate your business at meridian bank take care","AGENT: Thanks for holding this is cameron delgado with meridian bank how can i help.
CUST: We just got our llc paperwork finalized and want to open a business checking account.
AGENT: Okay give me just a moment to look that up.
CUST: What documents do we need to bring in to get that set up.
AGENT: Thats all set on our end now.
CUST: Great appreciate it.
AGENT: We appreciate your business at meridian bank take care."
